dates;simulation_Les Oubliels;forecast_('norain', 'Les Oubliels');forecast_('10%', 'Les Oubliels');forecast_('20%', 'Les Oubliels');forecast_('50%', 'Les Oubliels');forecast_('80%', 'Les Oubliels');forecast_('90%', 'Les Oubliels')
19/06/2004;13,946359;;;;;;
20/06/2004;13,922331;;;;;;
21/06/2004;13,899908;;;;;;
22/06/2004;13,8789835;;;;;;
23/06/2004;13,85931;;;;;;
24/06/2004;13,839849;;;;;;
25/06/2004;13,820601;;;;;;
26/06/2004;13,801564;;;;;;
27/06/2004;13,782737;;;;;;
28/06/2004;13,764118;;;;;;
29/06/2004;13,745706;;;;;;
30/06/2004;13,727498;;;;;;
01/07/2004;13,709494;;;;;;
02/07/2004;13,69169;;;;;;
03/07/2004;13,674086;;;;;;
04/07/2004;13,656678;;;;;;
05/07/2004;13,639466;;;;;;
06/07/2004;13,622447;;;;;;
07/07/2004;13,605619;;;;;;
08/07/2004;13,58898;;;;;;
09/07/2004;13,572528;;;;;;
10/07/2004;13,55626;;;;;;
11/07/2004;13,540175;;;;;;
12/07/2004;13,524272;;;;;;
13/07/2004;13,508547;;;;;;
14/07/2004;13,492999;;;;;;
15/07/2004;13,477626;;;;;;
16/07/2004;13,462426;;;;;;
17/07/2004;13,447397;;;;;;
18/07/2004;13,432537;;;;;;
19/07/2004;13,417845;;;;;;
20/07/2004;13,403317;;;;;;
21/07/2004;13,388953;;;;;;
22/07/2004;13,374751;;;;;;
23/07/2004;13,360709;;;;;;
24/07/2004;13,346825;;;;;;
25/07/2004;13,3330965;;;;;;
26/07/2004;13,319523;;;;;;
27/07/2004;13,306103;;;;;;
28/07/2004;13,292833;;;;;;
29/07/2004;13,279713;;;;;;
30/07/2004;13,266741;;;;;;
31/07/2004;13,253914;;;;;;
01/08/2004;13,241232;;;;;;
02/08/2004;13,228693;;;;;;
03/08/2004;13,217768;;;;;;
04/08/2004;13,206694;;;;;;
05/08/2004;13,195521;;;;;;
06/08/2004;13,184294;;;;;;
07/08/2004;13,173046;;;;;;
08/08/2004;13,161804;;;;;;
09/08/2004;13,150591;;;;;;
10/08/2004;13,139424;;;;;;
11/08/2004;13,128319;;;;;;
12/08/2004;13,117285;;;;;;
13/08/2004;13,106332;;;;;;
14/08/2004;13,095467;;;;;;
15/08/2004;13,084696;;;;;;
16/08/2004;13,074021;;;;;;
17/08/2004;13,063449;;;;;;
18/08/2004;13,05298;;;;;;
19/08/2004;13,042616;;;;;;
20/08/2004;13,032358;;;;;;
21/08/2004;13,022208;;;;;;
22/08/2004;13,012164;;;;;;
23/08/2004;13,002229;;;;;;
24/08/2004;12,9924;;;;;;
25/08/2004;12,982678;;;;;;
26/08/2004;12,973063;;;;;;
27/08/2004;12,963554;;;;;;
28/08/2004;12,954149;;;;;;
29/08/2004;12,944849;;;;;;
30/08/2004;12,935653;;;;;;
31/08/2004;12,926558;;;;;;
01/09/2004;12,917565;;;;;;
02/09/2004;12,908672;;;;;;
03/09/2004;12,899879;;;;;;
04/09/2004;12,891185;;;;;;
05/09/2004;12,882588;;;;;;
06/09/2004;12,874087;;;;;;
07/09/2004;12,865683;;;;;;
08/09/2004;12,857371;;;;;;
09/09/2004;12,849154;;;;;;
10/09/2004;12,841029;;;;;;
11/09/2004;12,833309;;;;;;
12/09/2004;12,825617;;;;;;
13/09/2004;12,817965;;;;;;
14/09/2004;13,226204;;;;;;
15/09/2004;13,489972;;;;;;
16/09/2004;13,670262;;;;;;
17/09/2004;13,797032;;;;;;
18/09/2004;13,885781;;;;;;
19/09/2004;13,944887;;;;;;
20/09/2004;13,982592;;;;;;
21/09/2004;14,00464;;;;;;
22/09/2004;14,015157;;;;;;
23/09/2004;14,017168;;;;;;
24/09/2004;14,012935;;;;;;
25/09/2004;14,004158;;;;;;
26/09/2004;13,992134;;;;;;
27/09/2004;13,977854;;;;;;
28/09/2004;13,962077;;;;;;
29/09/2004;13,945384;;;;;;
30/09/2004;13,928219;;;;;;
01/10/2004;13,91092;;;;;;
02/10/2004;13,893743;;;;;;
03/10/2004;13,876875;;;;;;
04/10/2004;13,860366;;;;;;
05/10/2004;13,843451;;;;;;
06/10/2004;13,826244;;;;;;
07/10/2004;13,80884;;;;;;
08/10/2004;13,791313;;;;;;
09/10/2004;13,773724;;;;;;
10/10/2004;13,756121;;;;;;
11/10/2004;13,738544;;;;;;
12/10/2004;13,721025;;;;;;
13/10/2004;13,703589;;;;;;
14/10/2004;13,686256;;;;;;
15/10/2004;13,669043;;;;;;
16/10/2004;13,65196;;;;;;
17/10/2004;13,63502;;;;;;
18/10/2004;13,61823;;;;;;
19/10/2004;13,601595;;;;;;
20/10/2004;13,585119;;;;;;
21/10/2004;13,568808;;;;;;
22/10/2004;13,552661;;;;;;
23/10/2004;13,536681;;;;;;
24/10/2004;13,52087;;;;;;
25/10/2004;13,525955;;;;;;
26/10/2004;13,526962;;;;;;
27/10/2004;13,524744;;;;;;
28/10/2004;13,519972;;;;;;
29/10/2004;13,51318;;;;;;
30/10/2004;14,446487;;;;;;
31/10/2004;14,87656;;;;;;
01/11/2004;15,09937;;;;;;
02/11/2004;15,211554;;;;;;
03/11/2004;15,257451;;;;;;
04/11/2004;15,261177;;;;;;
05/11/2004;15,237258;;;;;;
06/11/2004;15,195039;;;;;;
07/11/2004;15,140811;;;;;;
08/11/2004;15,07894;;;;;;
09/11/2004;15,1910305;;;;;;
10/11/2004;15,237362;;;;;;
11/11/2004;15,241789;;;;;;
12/11/2004;15,218709;;;;;;
13/11/2004;15,177396;;;;;;
14/11/2004;15,124097;;;;;;
15/11/2004;15,063152;;;;;;
16/11/2004;14,997641;;;;;;
17/11/2004;14,9297695;;;;;;
18/11/2004;14,861138;;;;;;
19/11/2004;14,792901;;;;;;
20/11/2004;14,725889;;;;;;
21/11/2004;14,660691;;;;;;
22/11/2004;14,597716;;;;;;
23/11/2004;14,537235;;;;;;
24/11/2004;14,479417;;;;;;
25/11/2004;14,424351;;;;;;
26/11/2004;14,372069;;;;;;
27/11/2004;14,322558;;;;;;
28/11/2004;14,2774;;;;;;
29/11/2004;14,234483;;;;;;
30/11/2004;14,193808;;;;;;
01/12/2004;14,302541;;;;;;
02/12/2004;14,366657;;;;;;
03/12/2004;14,400177;;;;;;
04/12/2004;14,412267;;;;;;
05/12/2004;14,409202;;;;;;
06/12/2004;14,395414;;;;;;
07/12/2004;15,716275;;;;;;
08/12/2004;17,227684;;;;;;
09/12/2004;17,917;;;;;;
10/12/2004;18,115303;;;;;;
11/12/2004;18,1209;;;;;;
12/12/2004;18,061718;;;;;;
13/12/2004;17,936008;;;;;;
14/12/2004;17,773129;;;;;;
15/12/2004;17,58981;;;;;;
