dates;simulation_Les Oubliels;forecast_('norain', 'Les Oubliels');forecast_('10%', 'Les Oubliels');forecast_('20%', 'Les Oubliels');forecast_('50%', 'Les Oubliels');forecast_('80%', 'Les Oubliels');forecast_('90%', 'Les Oubliels')
2004-06-19;13,0123825;;;;;;
2004-06-20;12,9869795;;;;;;
2004-06-21;12,961934;;;;;;
2004-06-22;12,937247;;;;;;
2004-06-23;12,912917;;;;;;
2004-06-24;12,888943;;;;;;
2004-06-25;12,865322;;;;;;
2004-06-26;12,842051;;;;;;
2004-06-27;12,819126;;;;;;
2004-06-28;12,796545;;;;;;
2004-06-29;12,774303;;;;;;
2004-06-30;12,752398;;;;;;
2004-07-01;12,7308235;;;;;;
2004-07-02;12,709577;;;;;;
2004-07-03;12,688653;;;;;;
2004-07-04;12,668049;;;;;;
2004-07-05;12,6477585;;;;;;
2004-07-06;12,627777;;;;;;
2004-07-07;12,608103;;;;;;
2004-07-08;12,588729;;;;;;
2004-07-09;12,569653;;;;;;
2004-07-10;12,550868;;;;;;
2004-07-11;12,532372;;;;;;
2004-07-12;12,51416;;;;;;
2004-07-13;12,496227;;;;;;
2004-07-14;12,478571;;;;;;
2004-07-15;12,461185;;;;;;
2004-07-16;12,444067;;;;;;
2004-07-17;12,427212;;;;;;
2004-07-18;12,410615;;;;;;
2004-07-19;12,394275;;;;;;
2004-07-20;12,378185;;;;;;
2004-07-21;12,362343;;;;;;
2004-07-22;12,346745;;;;;;
2004-07-23;12,331387;;;;;;
2004-07-24;12,316264;;;;;;
2004-07-25;12,301375;;;;;;
2004-07-26;12,286715;;;;;;
2004-07-27;12,272281;;;;;;
2004-07-28;12,258068;;;;;;
2004-07-29;12,244075;;;;;;
2004-07-30;12,230296;;;;;;
2004-07-31;12,21673;;;;;;
2004-08-01;12,203373;;;;;;
2004-08-02;12,190221;;;;;;
2004-08-03;12,17836;;;;;;
2004-08-04;12,166506;;;;;;
2004-08-05;12,154688;;;;;;
2004-08-06;12,142929;;;;;;
2004-08-07;12,131247;;;;;;
2004-08-08;12,1196575;;;;;;
2004-08-09;12,108174;;;;;;
2004-08-10;12,096807;;;;;;
2004-08-11;12,085563;;;;;;
2004-08-12;12,074449;;;;;;
2004-08-13;12,06347;;;;;;
2004-08-14;12,052629;;;;;;
2004-08-15;12,041931;;;;;;
2004-08-16;12,031376;;;;;;
2004-08-17;12,020965;;;;;;
2004-08-18;12,010699;;;;;;
2004-08-19;12,000579;;;;;;
2004-08-20;11,990604;;;;;;
2004-08-21;11,980774;;;;;;
2004-08-22;11,971088;;;;;;
2004-08-23;11,961544;;;;;;
2004-08-24;11,952143;;;;;;
2004-08-25;11,942882;;;;;;
2004-08-26;11,933759;;;;;;
2004-08-27;11,924773;;;;;;
2004-08-28;11,915924;;;;;;
2004-08-29;11,907208;;;;;;
2004-08-30;11,898625;;;;;;
2004-08-31;11,890173;;;;;;
2004-09-01;11,881848;;;;;;
2004-09-02;11,873652;;;;;;
2004-09-03;11,865581;;;;;;
2004-09-04;11,857633;;;;;;
2004-09-05;11,849806;;;;;;
2004-09-06;11,8421;;;;;;
2004-09-07;11,834512;;;;;;
2004-09-08;11,82704;;;;;;
2004-09-09;11,819683;;;;;;
2004-09-10;11,812439;;;;;;
2004-09-11;11,805537;;;;;;
2004-09-12;11,798704;;;;;;
2004-09-13;11,791945;;;;;;
2004-09-14;12,11365;;;;;;
2004-09-15;12,348133;;;;;;
2004-09-16;12,522434;;;;;;
2004-09-17;12,6532955;;;;;;
2004-09-18;12,751791;;;;;;
2004-09-19;12,825603;;;;;;
2004-09-20;12,880263;;;;;;
2004-09-21;12,9198675;;;;;;
2004-09-22;12,94752;;;;;;
2004-09-23;12,965612;;;;;;
2004-09-24;12,976016;;;;;;
2004-09-25;12,980213;;;;;;
2004-09-26;12,979387;;;;;;
2004-09-27;12,974493;;;;;;
2004-09-28;12,966303;;;;;;
2004-09-29;12,955448;;;;;;
2004-09-30;12,942444;;;;;;
2004-10-01;12,927713;;;;;;
2004-10-02;12,911605;;;;;;
2004-10-03;12,894408;;;;;;
